Imagename,Depth,lat,lon,alt,num,fn
201503.20150519.033206833.10975.png,51.8,38.536302,-73.981917,1.99,0,0
201503.20150519.033909414.13500.png,58.93,38.528,-73.970507,1.68,0,0
201503.20150519.034205309.14550.png,55.97,38.524497,-73.965723,1.66,0,0
201503.20150519.034719102.16425.png,51.09,38.518148,-73.957233,2.05,0,0
201503.20150519.034920448.17150.png,54.18,38.515687,-73.953968,2.24,0,0
201503.20150519.035545347.19450.png,53.21,38.508207,-73.943337,2.2,0,0
201503.20150519.040937956.24425.png,54.23,38.49223,-73.92034,2.2,1,0
201503.20150519.041426658.26150.png,55.08,38.486818,-73.91228,1.62,0,0
201503.20150519.042244546.29125.png,60.16,38.477593,-73.898293,1.68,0,0
201503.20150519.042510984.30000.png,59.46,38.474953,-73.8943,1.63,0,0
201503.20150519.042605367.30325.png,58.9,38.473977,-73.892823,2.37,0,0
201503.20150519.042729044.30825.png,58.12,38.472483,-73.890532,2.09,0,0
201503.20150519.042942931.31625.png,57.66,38.470052,-73.886752,1.76,0,0
201503.20150519.044245330.36300.png,58.33,38.455838,-73.864968,2.15,0,0
201503.20150519.044759124.38175.png,59.3,38.450173,-73.855938,1.72,0,0
201503.20150519.044943727.38800.png,60.08,38.448325,-73.852953,2.22,0,0
201503.20150519.045407309.40375.png,59.81,38.443462,-73.845277,1.89,0,0
201503.20150519.051437388.47725.png,65.2,38.432275,-73.808205,2.24,0,0
201503.20150519.054226773.57700.png,67.57,38.45997,-73.758658,1.61,0,0
201503.20150519.054805677.59725.png,67.34,38.463187,-73.747033,2.33,0,0
201503.20150519.055118132.60875.png,66.1,38.46627,-73.74092,1.7,0,0
201503.20150519.060309402.65125.png,66.79,38.484527,-73.726592,2.29,0,0
201503.20150519.060720437.66625.png,65.65,38.491002,-73.722242,2.19,0,0
201503.20150519.061854975.70775.png,66.56,38.510292,-73.712745,2.23,0,0
201503.20150519.062113042.71600.png,65.93,38.514112,-73.710972,2.13,0,0
201503.20150519.062314378.72325.png,64.67,38.517518,-73.70939,2.19,0,0
201503.20150519.062536632.73175.png,63.34,38.52147,-73.707637,2.25,0,0
201503.20150519.063243398.75725.png,62.94,38.531055,-73.714695,1.74,0,0
201503.20150519.071733985.91800.png,57.07,38.580187,-73.795643,2.03,0,0
201503.20150519.072004609.92700.png,57.61,38.581847,-73.801102,2.34,0,0
201503.20150519.072222701.93525.png,57.86,38.583075,-73.806312,2.08,0,0
201503.20150519.073151702.96925.png,56.47,38.593283,-73.82268,2.26,0,0
201503.20150519.074544297.101900.png,55.83,38.613445,-73.840827,1.4,0,0
201503.20150519.075148300.104075.png,53.44,38.621157,-73.850473,2.36,0,0
201503.20150519.075907622.106700.png,55.07,38.630105,-73.862577,2,0,0
201503.20150519.080758975.109875.png,50.1,38.645172,-73.866037,2.06,0,0
201503.20150519.081342062.111925.png,47.37,38.655222,-73.867488,2.02,241,18
201503.20150519.083642755.120175.png,47.19,38.696603,-73.873757,2.23,0,0
201503.20150519.084743815.124125.png,47.8,38.71663,-73.8771,2.3,0,0
201503.20150519.085310168.126075.png,45.49,38.72605,-73.879837,1.9,61,0
201503.20150519.085758852.127800.png,43.07,38.734538,-73.882355,2.11,0,0
201503.20150519.090118006.128990.png,42.02,38.740407,-73.884107,1.83,72,2
201503.20150519.091914953.135425.png,45.15,38.761507,-73.880958,1.96,0,0
201503.20150519.094314232.144025.png,45.02,38.745072,-73.830505,1.73,0,0
201503.20150519.094635054.145225.png,46.5,38.742677,-73.823528,2.03,0,0
201503.20150519.100434512.151675.png,50.2,38.729753,-73.786035,2.21,0,0
201503.20150519.101806200.156525.png,51.53,38.716363,-73.760648,2.17,1,0
201503.20150519.102718475.159825.png,54.18,38.70562,-73.743933,2.03,0,0
201503.20150519.103137875.161375.png,54.01,38.700573,-73.735992,1.79,0,0
201503.20150519.105635730.170325.png,61.4,38.673307,-73.68939,1.56,0,0
201503.20150519.115732491.192175.png,70.34,38.60309,-73.574705,1.91,0,0
201503.20150519.121951337.200175.png,70.64,38.578983,-73.53178,1.86,0,0
201503.20150519.125156117.211675.png,83.31,38.542242,-73.469782,2.35,0,0
201503.20150519.144938599.253875.png,80.2,38.663995,-73.373448,2.26,0,0
201503.20150519.152439103.266425.png,72.79,38.701697,-73.440648,2.31,0,0
201503.20150519.155257778.276575.png,67.65,38.727518,-73.495608,1.79,0,0
201503.20150519.155553495.277625.png,66.9,38.730098,-73.501263,1.85,0,0
201503.20150519.160904923.675.png,67.95,38.741947,-73.527082,1.43,0,0
201503.20150519.161804825.3900.png,65.43,38.750353,-73.544273,1.97,0,0
201503.20150519.162006162.4625.png,65.44,38.752267,-73.548185,1.45,0,0
201503.20150519.163021201.8300.png,62.81,38.761867,-73.567788,1.3,0,0
201503.20150519.163641924.10575.png,60.66,38.76799,-73.579932,1.6,0,0
201503.20150519.163843264.11300.png,60.88,38.769932,-73.583858,1.87,0,0
201503.20150519.164147347.12400.png,59.54,38.773085,-73.589663,1.25,1,0
201503.20150519.164833213.14825.png,55.11,38.780232,-73.602183,1.86,0,0
201503.20150519.172107090.26500.png,55.87,38.814308,-73.662403,1.81,0,0
201503.20150519.175435389.38500.png,46.01,38.85024,-73.724145,1.94,0,0
201503.20150519.184431075.56400.png,45.15,38.905908,-73.816698,2.16,0,0
201503.20150519.192801867.72000.png,35.58,38.950105,-73.900728,1.67,0,0
201503.20150519.203047385.94500.png,36.68,39.01532,-74.021168,1.71,0,0
201503.20150519.211936317.112000.png,32.25,39.08442,-73.991407,1.97,0,0
201503.20150519.221530649.132043.png,31.43,39.109553,-73.889232,1.99,85,4
201503.20150519.222452473.135400.png,37.24,39.098837,-73.872295,1.6,0,0
201503.20150519.232901685.158400.png,39.13,39.032625,-73.753412,1.77,0,0
201503.20150520.000016096.169600.png,45.09,39.003848,-73.690847,1.62,12,0
201503.20150520.002415362.178200.png,52.51,38.983687,-73.643622,1.46,0,0
201503.20150520.003057027.180600.png,52.05,38.978045,-73.630528,1.8,0,0
201503.20150520.003417847.181800.png,51.83,38.975165,-73.623918,1.66,2,0
201503.20150520.003524795.182200.png,51.33,38.974222,-73.621722,2.11,0,0
201503.20150520.005406085.188900.png,49.06,38.958222,-73.584892,1.8,1,0
201503.20150520.013128674.202300.png,56.29,38.924072,-73.513772,1.71,0,0
201503.20150520.014131163.205900.png,57.64,38.91258,-73.496333,1.88,0,0
201503.20150520.014615673.207600.png,61.37,38.907157,-73.488028,1.3,78,4
201503.20150520.015116926.209400.png,64.46,38.90137,-73.47927,1.85,0,0
201503.20150520.015840412.212050.png,63.7,38.892982,-73.466107,1.61,0,0
201503.20150520.021212096.216900.png,61.92,38.878098,-73.44084,2.08,0,0
201503.20150520.021400877.217550.png,61.29,38.87614,-73.437405,1.81,18,0
201503.20150520.021459442.217900.png,60.72,38.875117,-73.43554,2.11,0,0
201503.20150520.021927223.219500.png,59.56,38.870393,-73.42699,1.93,0,0
201503.20150520.022543775.221750.png,64.18,38.863722,-73.414887,2.14,1,0
201503.20150520.022814408.222650.png,65.52,38.861085,-73.41003,1.63,0,0
201503.20150520.023447693.225000.png,67.99,38.854422,-73.397152,2.05,0,0
201503.20150520.023628101.225600.png,66.14,38.852647,-73.393842,1.78,0,0
201503.20150520.023735218.226000.png,65.57,38.851465,-73.39162,1.68,0,0
201503.20150520.023957470.226850.png,67.26,38.848992,-73.386983,2.32,0,0
201503.20150520.024236463.227800.png,65.57,38.846523,-73.381495,1.68,0,0
201503.20150520.024507070.228700.png,64.43,38.844615,-73.376015,1.91,0,0
201503.20150520.024844646.230000.png,66.79,38.841798,-73.368012,1.91,0,0
201503.20150520.024901377.230100.png,66.94,38.841595,-73.367435,1.92,0,0
201503.20150520.025222197.231300.png,70.43,38.839123,-73.360365,1.91,0,0
201503.20150520.025658350.232950.png,73,38.835822,-73.350608,1.9,0,0
201503.20150520.030405102.235500.png,75.09,38.830773,-73.335332,2.24,0,0
201503.20150520.035524485.253900.png,87.06,38.876963,-73.238002,1.91,0,0
201503.20150520.040008988.255600.png,86.96,38.88228,-73.22933,2.23,0,0
201503.20150520.040642276.257950.png,87.11,38.890143,-73.217878,1.35,0,0
201503.20150520.040659003.258050.png,87.04,38.890475,-73.217383,1.72,0,0
201503.20150520.040904525.258800.png,85.54,38.892937,-73.213797,1.77,0,0
201503.20150520.041340667.260450.png,85.94,38.898382,-73.205735,1.48,0,0
201503.20150520.041619652.261400.png,84.8,38.901728,-73.201403,2.18,0,0
201503.20150520.041734975.261850.png,83.39,38.903597,-73.199943,2.37,0,0
201503.20150520.041907018.262400.png,84.01,38.906118,-73.19831,1.95,0,0
201503.20150520.042137637.263300.png,83.82,38.910175,-73.195927,1.82,0,0
201503.20150520.042351516.264100.png,83.21,38.913773,-73.193818,2.18,0,0
201503.20150520.042613783.264950.png,82.83,38.917702,-73.191543,1.89,0,0
201503.20150520.042844400.265850.png,82.53,38.921785,-73.18926,2.25,0,0
201503.20150520.043115028.266750.png,82.02,38.925878,-73.186905,2.19,0,0
201503.20150520.043131754.266850.png,81.97,38.92635,-73.186642,1.96,0,0
201503.20150520.043813417.269250.png,82.13,38.937272,-73.180742,2.39,0,0
201503.20150520.044044034.270150.png,81.86,38.941515,-73.178602,2.09,0,0
201503.20150520.044314652.271050.png,81.42,38.945755,-73.176358,1.91,0,0
201503.20150520.044528541.271850.png,81.32,38.949433,-73.1744,2.11,0,0
201503.20150520.044734060.272600.png,81.39,38.952897,-73.172472,2.02,0,0
201503.20150520.045013046.273550.png,88.8,38.957132,-73.169883,1.9,0,0
201503.20150520.045210199.274250.png,88.15,38.960243,-73.167913,1.68,0,0
201503.20150520.045300407.274550.png,86.43,38.961542,-73.167083,1.7,0,0
